t_uid,mr_id,tstamp,anomalous,expected,max,min,value
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 08:35:00.000+0000,False,1.551269349943,2.135243908042,0.9547495382443,1.653714285714
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 08:40:00.000+0000,False,1.552632497981,2.174952238125,0.9249682906818,1.733
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 08:45:00.000+0000,False,1.551269349943,2.135243908042,0.9547495382443,1.664166666667
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:00:00.000+0000,False,1.552632497981,2.135243908042,0.9547495382443,1.6132
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:05:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.5374
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:10:00.000+0000,False,1.549925177684,2.097175108968,0.9833011375498,1.28
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:20:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.5865
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:25:00.000+0000,False,1.552632497981,2.097175108968,0.9833011375498,1.5854
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:30:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.478
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:35:00.000+0000,False,1.549702519465,2.097175108968,0.9833011375498,1.293
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:45:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.4972
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:50:00.000+0000,False,1.551269349943,2.135243908042,0.9547495382443,1.6266
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 09:55:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.542625
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:10:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.581571428571
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:15:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.6128
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:20:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.460333333333
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:35:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.494
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:40:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.6165
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:45:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.61
cfd95b7e-3bc7-4006-a4a8-a73a79c71255,e0eeded5-2005-364c-a146-9c4dc93e7ecc,2022-03-18 10:55:00.000+0000,False,1.551269349943,2.097175108968,0.9833011375498,1.546666666667
